"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000128340","ENSG00000128340","RAC2","RAC2","RAC2","FALSE","FALSE",5880,,,
"ENSG00000130429","ENSG00000130429","ARPC1B","ARPC1B","ARPC1B","FALSE","FALSE",10095,,,
"ENSG00000130475","ENSG00000130475","FCHO1","FCHO1","FCHO1","FALSE","FALSE",23149,,,
"ENSG00000130826","ENSG00000130826","DKC1","DKC1","DKC1","FALSE","FALSE","1736:677835:100847052",,,
"ENSG00000131061","ENSG00000131061","ZNF341","ZNF341","ZNF341","FALSE","FALSE",84905,,,
"ENSG00000132842","ENSG00000132842","AP3B1","AP3B1","AP3B1","FALSE","FALSE",8546,,,
"ENSG00000133111","ENSG00000133111","RFXAP","RFXAP","RFXAP","FALSE","FALSE",5994,,,
"ENSG00000133703","ENSG00000133703","KRAS","KRAS","KRAS","FALSE","FALSE",3845,,,
"ENSG00000133710","ENSG00000133710","SPINK5","SPINK5","SPINK5","FALSE","FALSE",11005,,,
"ENSG00000134352","ENSG00000134352","IL6ST","IL6ST","IL6ST","FALSE","FALSE",3572,,,
"ENSG00000134460","ENSG00000134460","IL2RA","IL2RA","IL2RA","FALSE","FALSE",3559,,,
"ENSG00000134516","ENSG00000134516","DOCK2","DOCK2","DOCK2","FALSE","FALSE",1794,,,
"ENSG00000135604","ENSG00000135604","STX11","STX11","STX11","FALSE","FALSE",8676,,,
"ENSG00000135899","ENSG00000135899","SP110","SP110","SP110","FALSE","FALSE",3431,,,
"ENSG00000136104","ENSG00000136104","RNASEH2B","RNASEH2B","RNASEH2B","FALSE","FALSE",79621,,,
"ENSG00000136634","ENSG00000136634","IL10","IL10","IL10","FALSE","FALSE",3586,,,
"ENSG00000136689","ENSG00000136689","IL1RN","IL1RN","IL1RN","FALSE","FALSE",3557,,,
"ENSG00000136695","ENSG00000136695","IL36RN","IL36RN","IL36RN","FALSE","FALSE",26525,,,
"ENSG00000136802","ENSG00000136802","LRRC8A","LRRC8A","LRRC8A","FALSE","FALSE",56262,,,
"ENSG00000137275","ENSG00000137275","RIPK1","RIPK1","RIPK1","FALSE","FALSE",8737,,,
"ENSG00000138231","ENSG00000138231","DBR1","DBR1","DBR1","FALSE","FALSE",51163,,,
"ENSG00000138375","ENSG00000138375","SMARCAL1","SMARCAL1","SMARCAL1","FALSE","FALSE",50485,,,
"ENSG00000138600","ENSG00000138600","SPPL2A","SPPL2A","SPPL2A","FALSE","FALSE",84888,,,
"ENSG00000138684","ENSG00000138684","IL21","IL21","IL21","FALSE","FALSE",59067,,,
"ENSG00000139193","ENSG00000139193","CD27","CD27","CD27","FALSE","FALSE",939,,,
"ENSG00000140368","ENSG00000140368","PSTPIP1","PSTPIP1","PSTPIP1","FALSE","FALSE",9051,,,
"ENSG00000140694","ENSG00000140694","PARN","PARN","PARN","FALSE","FALSE",5073,,,
"ENSG00000140968","ENSG00000140968","IRF8","IRF8","IRF8","FALSE","FALSE",3394,,,
"ENSG00000141499","ENSG00000141499","WRAP53","WRAP53","WRAP53","FALSE","FALSE",55135,,,
"ENSG00000141524","ENSG00000141524","TMC6","TMC6","TMC6","FALSE","FALSE",11322,,,
"ENSG00000141527","ENSG00000141527","CARD14","CARD14","CARD14","FALSE","FALSE",79092,,,
"ENSG00000142405","ENSG00000142405","NLRP12","NLRP12","NLRP12","FALSE","FALSE",91662,,,
"ENSG00000142867","ENSG00000142867","BCL10","BCL10","BCL10","FALSE","FALSE",8915,,,
"ENSG00000143365","ENSG00000143365","RORC","RORC","RORC","FALSE","FALSE",6097,,,
"ENSG00000143390","ENSG00000143390","RFX5","RFX5","RFX5","FALSE","FALSE",5993,,,
"ENSG00000143669","ENSG00000143669","LYST","LYST","LYST","FALSE","FALSE",1130,,,
"ENSG00000144354","ENSG00000144354","CDCA7","CDCA7","CDCA7","FALSE","FALSE",83879,,,
"ENSG00000145675","ENSG00000145675","PIK3R1","PIK3R1","PIK3R1","FALSE","FALSE",5295,,,
"ENSG00000145912","ENSG00000145912","NHP2","NHP2","NHP2","FALSE","FALSE",55651,,,
"ENSG00000147065","ENSG00000147065","MSN","MSN","MSN","FALSE","FALSE",4478,,,
"ENSG00000147168","ENSG00000147168","IL2RG","IL2RG","IL2RG","FALSE","FALSE",3561,,,
"ENSG00000149131","ENSG00000149131","SERPING1","SERPING1","SERPING1","FALSE","FALSE",710,,,
"ENSG00000149311","ENSG00000149311","ATM","ATM","ATM","FALSE","FALSE",472,,,
"ENSG00000149781","ENSG00000149781","FERMT3","FERMT3","FERMT3","FALSE","FALSE",83706,,,
"ENSG00000151694","ENSG00000151694","ADAM17","ADAM17","ADAM17","FALSE","FALSE",6868,,,
"ENSG00000152223","ENSG00000152223","EPG5","EPG5","EPG5","FALSE","FALSE",57724,,,
